,Age,Gender,Country,Degree,Job Title,Company Size,Team Size,ML Status in Company,Year,Min_Salary,Max_Salary
0,30-34,Male,United States of America,Master,Data Engineer,"10,000 or more employees",20+,Well-establised,2020,100000.0,124999.0
1,35-39,Male,Argentina,Bachelor,Software Engineer,"1000-9,999 employees",0,Never,2020,10001.0,20000.0
2,30-34,Male,United States of America,Master,Data Scientist,250-999 employees,5-9,Well-establised,2020,125000.0,149999.0
3,35-39,Male,Germany,Doctoral,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,70000.0,79999.0
4,35-39,Male,United States of America,Doctoral,Research Scientist,0-49 employees,1-2,Others,2020,30000.0,39999.0
5,30-34,Male,Canada,Bachelor,Data Engineer,0-49 employees,3-4,Exploring,2020,90000.0,99999.0
6,55-59,Female,Canada,Master,Product/Project Manager,250-999 employees,5-9,Recently-started,2020,125000.0,149999.0
7,50-54,Male,United States of America,Master,Software Engineer,50-249 employees,0,Never,2020,150000.0,199999.0
8,30-34,Male,Netherlands,Bachelor,Software Engineer,0-49 employees,3-4,Well-establised,2020,60000.0,69999.0
9,25-29,Male,Russia,Bachelor,Machine Learning Engineer,50-249 employees,5-9,Recently-started,2020,10001.0,20000.0
10,35-39,Female,Pakistan,Master,Data Analyst,"1000-9,999 employees",3-4,Others,2020,10001.0,20000.0
11,18-21,Male,India,Bachelor,Data Scientist,0-49 employees,20+,Well-establised,2020,500000.0,
12,30-34,Male,Ukraine,Master,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,60000.0,69999.0
13,25-29,Male,United States of America,Master,Software Engineer,"10,000 or more employees",20+,Well-establised,2020,300000.0,500000.0
14,35-39,Male,Taiwan,Master,Software Engineer,250-999 employees,5-9,Others,2020,20001.0,30000.0
15,35-39,Male,United States of America,Doctoral,Data Analyst,0-49 employees,3-4,Recently-started,2020,70000.0,79999.0
16,25-29,Male,India,Bachelor,Machine Learning Engineer,"10,000 or more employees",20+,Well-establised,2020,10001.0,20000.0
17,35-39,Male,Germany,Doctoral,Research Scientist,50-249 employees,5-9,Well-establised,2020,60000.0,69999.0
18,40-44,Male,India,Professional degree,Software Engineer,0-49 employees,1-2,Recently-started,2020,80000.0,89999.0
19,22-24,Male,Russia,Master,Machine Learning Engineer,0-49 employees,1-2,Well-establised,2020,10001.0,20000.0
20,30-34,Male,United Arab Emirates,Master,Research Scientist,0-49 employees,5-9,Well-establised,2020,80000.0,89999.0
21,55-59,Male,Colombia,Master,Data Scientist,0-49 employees,3-4,Others,2020,40000.0,49999.0
22,35-39,Male,Canada,Master,Data Scientist,"1000-9,999 employees",10-14,Well-establised,2020,80000.0,89999.0
23,22-24,Male,Viet Nam,Master,Machine Learning Engineer,50-249 employees,1-2,Recently-started,2020,10001.0,20000.0
24,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Data Analyst,"1000-9,999 employees",5-9,Exploring,2020,90000.0,99999.0
25,35-39,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,100000.0,124999.0
26,45-49,Female,United States of America,Doctoral,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,250000.0,299999.0
27,35-39,Male,Canada,Master,Data Scientist,"1000-9,999 employees",3-4,Others,2020,80000.0,89999.0
28,35-39,Male,Nigeria,Bachelor,Software Engineer,0-49 employees,0,Never,2020,60000.0,69999.0
29,25-29,Male,United States of America,Master,Software Engineer,50-249 employees,5-9,Others,2020,60000.0,69999.0
30,22-24,Male,France,Master,Research Scientist,0-49 employees,20+,Well-establised,2020,50000.0,59999.0
31,40-44,Male,Germany,Doctoral,Software Engineer,50-249 employees,1-2,Never,2020,50000.0,59999.0
32,30-34,Male,Belgium,Doctoral,Research Scientist,"1000-9,999 employees",1-2,Exploring,2020,30000.0,39999.0
33,25-29,Female,Germany,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,50000.0,59999.0
34,25-29,Female,Saudi Arabia,Master,Data Analyst,250-999 employees,5-9,Never,2020,40000.0,49999.0
35,30-34,Male,Russia,Master,Software Engineer,"1000-9,999 employees",1-2,Recently-started,2020,10001.0,20000.0
36,40-44,Male,Spain,Some college,Data Scientist,"1000-9,999 employees",10-14,Well-establised,2020,100000.0,124999.0
