,Year,Hobbyist,ConvertedComp,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator,Data or business analyst,"Engineer, data"
13355,2019,Yes,95179.0,New Zealand,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,10 to 19 employees,Computer science,4.0,0,1,0.0,0.0
13357,2019,Yes,90000.0,United States,Master's degree,Employed full-time,8.0,10 to 19 employees,Computer science,8.0,0,1,1.0,1.0
13358,2019,Yes,21996.0,Russian Federation,Master's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Computer science,3.0,0,0,1.0,0.0
13359,2019,No,41244.0,Lithuania,Master's degree,Employed full-time,4.0,"1,000 to 4,999 employees",Information systems,4.0,0,1,0.0,0.0
13361,2019,No,8400.0,Argentina,Master's degree,Employed full-time,8.0,"10,000 or more employees",Natural science,3.0,1,0,0.0,0.0
13362,2019,Yes,51312.0,Czech Republic,Master's degree,Employed full-time,8.0,10 to 19 employees,Computer science,22.0,0,0,0.0,1.0
13363,2019,Yes,156000.0,United States,Bachelor's degree,Employed full-time,8.0,100 to 499 employees,Computer science,23.0,0,1,0.0,0.0
13364,2019,Yes,20623.0,Spain,Bachelor's degree,Employed full-time,4.0,"10,000 or more employees",Computer science,2.0,0,0,0.0,1.0
13365,2019,Yes,60000.0,Serbia,Some college/university study without earning a bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,8.0,0,1,0.0,0.0
13366,2019,Yes,648.0,Argentina,Some college/university study without earning a bachelor's degree,"Independent contractor, freelancer, or self-employed",5.0,2 to 9 employees,Web development or web design,13.0,0,1,1.0,0.0
13367,2019,Yes,66000.0,United States,Some college/university study without earning a bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,8.0,0,1,0.0,0.0
13368,2019,Yes,87994.0,Netherlands,Associate degree,Employed full-time,4.0,"10,000 or more employees",Computer science,1.0,1,1,1.0,0.0
13369,2019,Yes,137490.0,Germany,Master's degree,Employed full-time,8.0,2 to 9 employees,Computer science,25.0,1,0,0.0,1.0
13370,2019,No,36265.0,Australia,Bachelor's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Information systems,2.0,0,0,1.0,0.0
13371,2019,Yes,114575.0,Ireland,Bachelor's degree,Employed full-time,8.0,"10,000 or more employees",Computer science,2.0,0,0,0.0,1.0
13372,2019,No,39254.0,United Kingdom,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,5.0,0,0,0.0,1.0
13373,2019,Yes,52704.0,Germany,Bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,"Just me - I am a freelancer, sole proprietor, etc.",Computer science,14.0,0,0,0.0,1.0
13374,2019,No,30252.0,Germany,Bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,2 to 9 employees,Fine arts or performing arts,2.0,0,1,1.0,0.0
13375,2019,Yes,43180.0,United Kingdom,Some college/university study without earning a bachelor's degree,Employed full-time,4.0,2 to 9 employees,Computer science,5.0,0,1,0.0,0.0
13376,2019,No,110000.0,United States,Bachelor's degree,Employed full-time,8.0,100 to 499 employees,Mathematics or statistics,8.0,0,0,0.0,1.0
13377,2019,Yes,66750.0,United States,Bachelor's degree,Employed full-time,6.0,"10,000 or more employees",Social science,6.0,1,0,1.0,1.0
13378,2019,Yes,46368.0,Croatia,Master's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Fine arts or performing arts,12.0,0,1,0.0,0.0
13379,2019,Yes,100000.0,United States,Master's degree,Employed full-time,6.0,20 to 99 employees,Computer science,4.0,1,0,1.0,0.0
13380,2019,Yes,103117.0,Spain,Master's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Computer science,9.0,0,0,0.0,1.0
13381,2019,Yes,21612.0,South Africa,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Natural science,2.0,0,0,1.0,0.0
13382,2019,Yes,62000.0,United States,Doctoral degree,Employed full-time,6.0,"1,000 to 4,999 employees",Computer science,11.0,1,0,0.0,1.0
13383,2019,No,24612.0,Bulgaria,Bachelor's degree,Employed full-time,4.0,100 to 499 employees,Another engineering discipline,1.0,0,0,0.0,1.0
13384,2019,Yes,2016.0,India,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,2.0,1,0,1.0,0.0
13385,2019,Yes,36265.0,Australia,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,2.0,0,1,0.0,0.0
13386,2019,Yes,70000.0,United States,Bachelor's degree,Employed full-time,4.0,"1,000 to 4,999 employees",Computer science,3.0,0,1,0.0,0.0
13387,2019,Yes,40101.0,Latvia,Master's degree,Employed full-time,6.0,20 to 99 employees,Humanities,4.0,1,0,0.0,0.0
13388,2019,Yes,65424.0,United Kingdom,Master's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Mathematics or statistics,7.0,0,0,1.0,1.0
13389,2019,Yes,61172.0,Hong Kong (S.A.R.),Bachelor's degree,Employed full-time,6.0,500 to 999 employees,Computer science,3.0,1,0,1.0,1.0
13390,2019,Yes,90000.0,United States,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,5.0,0,1,0.0,0.0
13391,2019,Yes,28860.0,Poland,Master's degree,Employed full-time,4.0,10 to 19 employees,Mathematics or statistics,2.0,1,0,0.0,0.0
13392,2019,No,62376.0,Australia,Bachelor's degree,Employed full-time,4.0,2 to 9 employees,Natural science,7.0,1,0,1.0,0.0
13393,2019,Yes,72522.0,Canada,Some college/university study without earning a bachelor's degree,Employed full-time,8.0,500 to 999 employees,Computer science,20.0,1,1,0.0,0.0
