location,latitude,longitude
"Redwood City, CA",37.4847955,-122.228141
"San Francisco, CA",37.7749295,-122.4194155
"Seattle, WA",47.6062095,-122.3320708
"Sunnyvale, CA",37.36883,-122.0363496
"Mountain View, CA",37.3860517,-122.0838511
"Redmond, WA",47.6739881,-122.121512
"Bellevue, WA",47.6101497,-122.2015159
"Menlo Park, CA",37.4529598,-122.1817252
"London, EN, United Kingdom",51.5072178,-0.1275862
"Cupertino, CA",37.3229978,-122.0321823
"New York, NY",40.7127753,-74.0059728
"Los Gatos, CA",37.2358078,-121.9623751
"Dublin, DN, Ireland",53.3498053,-6.2603097
"Baltimore, MD",39.2903848,-76.6121893
"Sacramento, CA",38.5815719,-121.4943996
"Hillsboro, OR",45.5201336,-122.9898149
"Cambridge, EN, United Kingdom",52.1950788,0.1312729
"Aliso Viejo, CA",33.5684605,-117.7262981
"San Jose, CA",37.33874,-121.8852525
"Bangalore, KA, India",12.9715987,77.5945627
"Minsk, HM, Belarus",53.9006011,27.558972
"Palo Alto, CA",37.4418834,-122.1430195
"Kirkland, WA",47.6768927,-122.2059833
"Washington, DC",38.9071923,-77.0368707
"Vancouver, BC, Canada",49.2827291,-123.1207375
"Austin, TX",30.267153,-97.7430608
"Boston, MA",42.3600825,-71.0588801
"San Diego, CA",32.715738,-117.1610838
"New Orleans, LA",29.95106579999999,-90.0715323
"Santa Clara, CA",37.3541079,-121.9552356
"Irvine, CA",33.6845673,-117.8265049
"Pittsburgh, PA",40.44062479999999,-79.9958864
"San Ramon, CA",37.7643595,-121.9539616
"Los Angeles, CA",34.0522342,-118.2436849
"Folsom, CA",38.6779591,-121.1760583
"Charleston, SC",32.7764749,-79.93105120000001
"Moscow, MC, Russia",55.755826,37.6173
"Culver City, CA",34.0211224,-118.3964665
"Mc Lean, VA",38.9338676,-77.1772604
"Portland, OR",45.515232,-122.6783853
"Boulder, CO",40.0149856,-105.2705456
"Pleasanton, CA",37.6604484,-121.8757968
"Fremont, CA",37.5485396,-121.988583
"Beaverton, OR",45.4869283,-122.804032
"Omaha, NE",41.2565369,-95.9345034
"Waltham, MA",42.3764852,-71.2356113
"Philadelphia, PA",39.9525839,-75.1652215
"Indianapolis, IN",39.768403,-86.158068
"Milwaukee, WI",43.0389025,-87.9064736
"Minneapolis, MN",44.977753,-93.2650108
"Amsterdam, NH, Netherlands",52.3675734,4.9041389
"Zurich, ZH, Switzerland",47.3768866,8.541694
"Singapore, SG, Singapore",1.352083,103.819836
"Chicago, IL",41.8781136,-87.6297982
"Herndon, VA",38.9695545,-77.3860976
"Denver, CO",39.7392358,-104.990251
"Berlin, BE, Germany",52.52000659999999,13.404954
"Hyderabad, TS, India",17.385044,78.486671
"Albany, NY",42.6525793,-73.7562317
"Hoboken, NJ",40.7439905,-74.0323626
"Tokyo, TY, Japan",35.6761919,139.6503106
"Waterloo, ON, Canada",43.4642578,-80.5204096
"Newark, NJ",40.735657,-74.1723667
"Chandler, AZ",33.3061605,-111.8412502
"Colorado Springs, CO",38.8338816,-104.8213634
"Stockholm, ST, Sweden",60.12816100000001,18.643501
"Costa Mesa, CA",33.6638439,-117.9047429
"San Bruno, CA",37.6304904,-122.4110835
"San Mateo, CA",37.5629917,-122.3255254
"Plano, TX",33.0198431,-96.6988856
"Richmond, VA",37.5407246,-77.4360481
"Phoenix, AZ",33.4483771,-112.0740373
"Dallas, TX",32.7766642,-96.79698789999999
"Round Rock, TX",30.5082551,-97.678896
"Oakland, CA",37.8043514,-122.2711639
"Melbourne, VI, Australia",-37.8136276,144.9630576
"Saint Petersburg, SP, Russia",59.9310584,30.3609097
"Madison, WI",43.0721661,-89.4007501
"Bedford, MA",42.4906231,-71.2760089
"Broomfield, CO",39.9205411,-105.0866504
"Monroe, LA, United States",32.5093109,-92.1193012
"Harrisburg, PA",40.2731911,-76.8867008
"Tel Aviv, TA, Israel",32.0852999,34.78176759999999
"Warsaw, MZ, Poland",52.2296756,21.0122287
"Cincinnati, OH",39.1031182,-84.5120196
"Munich, BY, Germany",48.1351253,11.5819806
"Jersey City, NJ",40.7177545,-74.0431435
"Beijing, BJ, China",39.904211,116.407395
"Durham, NC",35.9940329,-78.898619
"Telford, EN, United Kingdom",52.6775873,-2.4672611
"Hangzhou, ZJ, China",30.2741499,120.15515
"Vienna, WI, Austria",43.2313254,-89.41746409999999
"Burlington, MA",42.5047161,-71.1956205
"Pune, MH, India",18.5204303,73.8567437
"Raleigh, NC",35.7795897,-78.6381787
"Leixlip, KE, Ireland",53.36384280000001,-6.4900033
"Luxembourg, LU, Luxembourg",49.815273,6.129582999999999
"Fort Lauderdale, FL",26.1224386,-80.13731740000001
"Redlands, CA",34.0563884,-117.2058765
"Shanghai, SH, China",31.230416,121.473701
"Orlando, FL",28.5383832,-81.3789269
"Cambridge, MA, United States",42.3736158,-71.10973349999999
"Toronto, ON, Canada",43.653226,-79.3831843
"Oregon City, OR",45.3556099,-122.605853
"Renton, WA",47.4796927,-122.2079218
"Atlanta, GA",33.7489954,-84.3879824
"Eden Prairie, MN",44.8546856,-93.47078599999999
"Roseland, NJ",40.8206555,-74.2937594
"Reston, VA",38.9586307,-77.35700279999999
"Santa Monica, CA",34.0194543,-118.4911912
"St. Louis, MO",38.6270025,-90.19940419999999
"Chantilly, VA",38.8942786,-77.43109919999999
"New York Mills, NY",43.1053475,-75.2912778
"Needham, MA",42.2809285,-71.23775479999999
"Foster City, CA",37.5585465,-122.2710788
"Prague, PR, Czech Republic",50.0755381,14.4378005
"Bloomington, MN",44.840798,-93.2982799
"Los Altos, CA",37.3852183,-122.1141298
"Woonsocket, RI",42.00287609999999,-71.51478390000001
"Milpitas, CA",37.4323341,-121.8995741
"Gurgaon, HR, India",28.4594965,77.0266383
"Champaign, IL",40.1164204,-88.2433829
"Salt Lake City, UT",40.7607793,-111.8910474
"Poughkeepsie, NY",41.7003713,-73.9209701
"Sydney, NS, Australia",46.1367899,-60.19422399999999
"Charlotte, NC",35.2270869,-80.8431267
"Paris, IL, France",39.611146,-87.6961374
"Venice, CA",33.9850469,-118.4694832
"Islamabad, IS, Pakistan",33.6844202,73.04788479999999
"Winston Salem, NC",36.09985959999999,-80.244216
"Morrisville, NC",35.823483,-78.8255621
